IdEstablecimiento,Ano,Mes,Numerador,Denominador,MetaSanitaria,Dependencia Administrativa,Nivel de Atención
109323,2025,10,2.0,0.0,MSI,Municipal,Primario
109323,2025,11,0.0,3.0,MSI,Municipal,Primario
109323,2025,12,1.0,1.0,MSI,Municipal,Primario
109323,2026,1,,2.0,MSI,Municipal,Primario
109323,2026,2,1.0,2.0,MSI,Municipal,Primario
109323,2026,3,0.0,2.0,MSI,Municipal,Primario
109324,2025,10,,1.0,MSI,Municipal,Primario
109324,2025,11,0.0,,MSI,Municipal,Primario
109324,2025,12,1.0,1.0,MSI,Municipal,Primario
109324,2026,1,1.0,0.0,MSI,Municipal,Primario
109324,2026,2,0.0,0.0,MSI,Municipal,Primario
109324,2026,3,1.0,1.0,MSI,Municipal,Primario
109390,2025,10,0.0,1.0,MSI,Otra Institución,Primario
109390,2025,11,2.0,1.0,MSI,Otra Institución,Primario
109390,2025,12,3.0,3.0,MSI,Otra Institución,Primario
109390,2026,1,4.0,3.0,MSI,Otra Institución,Primario
109390,2026,3,4.0,2.0,MSI,Otra Institución,Primario
109412,2025,10,,0.0,MSI,Municipal,Primario
109412,2026,2,,0.0,MSI,Municipal,Primario
109413,2026,1,,0.0,MSI,Municipal,Primario
109414,2025,10,1.0,,MSI,Municipal,Primario
109414,2025,12,2.0,,MSI,Municipal,Primario
109417,2025,11,,1.0,MSI,Municipal,Primario
109419,2025,10,1.0,,MSI,Municipal,Primario
109709,2025,11,1.0,2.0,MSI,Municipal,Primario
109709,2025,12,1.0,1.0,MSI,Municipal,Primario
109709,2026,1,1.0,2.0,MSI,Municipal,Primario
109709,2026,2,1.0,,MSI,Municipal,Primario
109709,2026,3,1.0,0.0,MSI,Municipal,Primario
109711,2025,11,0.0,2.0,MSI,Municipal,Primario
109711,2025,12,2.0,4.0,MSI,Municipal,Primario
109711,2026,2,1.0,1.0,MSI,Municipal,Primario
109711,2026,3,1.0,1.0,MSI,Municipal,Primario
109712,2025,10,1.0,,MSI,Municipal,Primario
109715,2025,11,,1.0,MSI,Municipal,Primario
109715,2026,1,,0.0,MSI,Municipal,Primario
109715,2026,2,,0.0,MSI,Municipal,Primario
109716,2025,11,,0.0,MSI,Municipal,Primario
109718,2025,11,1.0,,MSI,Municipal,Primario
109718,2025,12,2.0,0.0,MSI,Municipal,Primario
109718,2026,1,,1.0,MSI,Municipal,Primario
109718,2026,2,,1.0,MSI,Municipal,Primario
110160,2025,10,0.0,1.0,MSI,Servicio de Salud,Pendiente
110160,2025,11,1.0,5.0,MSI,Servicio de Salud,Pendiente
110160,2025,12,0.0,0.0,MSI,Servicio de Salud,Pendiente
110160,2026,1,0.0,5.0,MSI,Servicio de Salud,Pendiente
110160,2026,2,1.0,1.0,MSI,Servicio de Salud,Pendiente
110160,2026,3,4.0,2.0,MSI,Servicio de Salud,Pendiente
110308,2025,10,8.0,9.0,MSI,Municipal,Primario
110308,2025,11,9.0,4.0,MSI,Municipal,Primario
110308,2025,12,0.0,,MSI,Municipal,Primario
110308,2026,1,2.0,4.0,MSI,Municipal,Primario
110308,2026,2,4.0,5.0,MSI,Municipal,Primario
110308,2026,3,0.0,4.0,MSI,Municipal,Primario
110310,2025,10,1.0,8.0,MSI,Servicio de Salud,Primario
110310,2025,11,,4.0,MSI,Servicio de Salud,Primario
110310,2025,12,,2.0,MSI,Servicio de Salud,Primario
110310,2026,1,,4.0,MSI,Servicio de Salud,Primario
110310,2026,2,,3.0,MSI,Servicio de Salud,Primario
110310,2026,3,,0.0,MSI,Servicio de Salud,Primario
110315,2025,10,2.0,7.0,MSI,Municipal,Primario
110315,2025,11,,3.0,MSI,Municipal,Primario
110315,2025,12,1.0,6.0,MSI,Municipal,Primario
110315,2026,1,1.0,4.0,MSI,Municipal,Primario
110315,2026,2,3.0,3.0,MSI,Municipal,Primario
110315,2026,3,1.0,4.0,MSI,Municipal,Primario
110316,2025,10,1.0,1.0,MSI,Municipal,Primario
110316,2025,11,2.0,1.0,MSI,Municipal,Primario
110316,2025,12,1.0,,MSI,Municipal,Primario
110316,2026,1,1.0,4.0,MSI,Municipal,Primario
110316,2026,2,1.0,2.0,MSI,Municipal,Primario
110316,2026,3,0.0,2.0,MSI,Municipal,Primario
110320,2025,10,2.0,0.0,MSI,Municipal,Primario
110320,2025,11,1.0,0.0,MSI,Municipal,Primario
110320,2025,12,1.0,0.0,MSI,Municipal,Primario
110320,2026,1,,0.0,MSI,Municipal,Primario
110320,2026,2,,1.0,MSI,Municipal,Primario
110320,2026,3,0.0,2.0,MSI,Municipal,Primario
110325,2025,10,8.0,3.0,MSI,Municipal,Primario
110325,2025,11,2.0,1.0,MSI,Municipal,Primario
110325,2025,12,2.0,1.0,MSI,Municipal,Primario
110325,2026,1,3.0,,MSI,Municipal,Primario
110325,2026,2,,0.0,MSI,Municipal,Primario
110325,2026,3,2.0,6.0,MSI,Municipal,Primario
110330,2025,10,2.0,1.0,MSI,Municipal,Primario
110330,2025,11,1.0,3.0,MSI,Municipal,Primario
110330,2025,12,,2.0,MSI,Municipal,Primario
110330,2026,1,3.0,1.0,MSI,Municipal,Primario
110330,2026,2,,5.0,MSI,Municipal,Primario
110330,2026,3,2.0,2.0,MSI,Municipal,Primario
110331,2025,10,2.0,9.0,MSI,Municipal,Primario
110331,2025,11,2.0,3.0,MSI,Municipal,Primario
110331,2025,12,3.0,5.0,MSI,Municipal,Primario
110331,2026,1,5.0,6.0,MSI,Municipal,Primario
110331,2026,2,1.0,,MSI,Municipal,Primario
110331,2026,3,3.0,7.0,MSI,Municipal,Primario
110335,2025,10,1.0,4.0,MSI,Municipal,Primario
110335,2025,11,1.0,1.0,MSI,Municipal,Primario
110335,2025,12,2.0,7.0,MSI,Municipal,Primario
110335,2026,1,4.0,2.0,MSI,Municipal,Primario
110335,2026,2,1.0,3.0,MSI,Municipal,Primario
110335,2026,3,2.0,2.0,MSI,Municipal,Primario
110340,2025,10,2.0,0.0,MSI,Municipal,Primario
110340,2025,11,3.0,0.0,MSI,Municipal,Primario
110340,2025,12,2.0,,MSI,Municipal,Primario
110340,2026,1,,0.0,MSI,Municipal,Primario
110340,2026,2,0.0,0.0,MSI,Municipal,Primario
110340,2026,3,0.0,1.0,MSI,Municipal,Primario
110345,2025,10,,4.0,MSI,Municipal,Primario
110345,2025,11,,3.0,MSI,Municipal,Primario
110345,2025,12,,4.0,MSI,Municipal,Primario
110345,2026,2,1.0,,MSI,Municipal,Primario
110345,2026,3,3.0,1.0,MSI,Municipal,Primario
110350,2025,10,4.0,4.0,MSI,Municipal,Primario
110350,2025,11,2.0,3.0,MSI,Municipal,Primario
110350,2025,12,,4.0,MSI,Municipal,Primario
110350,2026,1,3.0,1.0,MSI,Municipal,Primario
110350,2026,2,3.0,3.0,MSI,Municipal,Primario
110350,2026,3,3.0,5.0,MSI,Municipal,Primario
110351,2025,10,1.0,3.0,MSI,Municipal,Primario
110351,2025,11,2.0,1.0,MSI,Municipal,Primario
110351,2025,12,0.0,5.0,MSI,Municipal,Primario
110351,2026,1,2.0,2.0,MSI,Municipal,Primario
110351,2026,2,0.0,1.0,MSI,Municipal,Primario
110351,2026,3,3.0,4.0,MSI,Municipal,Primario
110352,2025,10,,4.0,MSI,Municipal,Primario
110352,2025,11,3.0,1.0,MSI,Municipal,Primario
110352,2025,12,1.0,1.0,MSI,Municipal,Primario
110352,2026,1,2.0,2.0,MSI,Municipal,Primario
110352,2026,2,,2.0,MSI,Municipal,Primario
110352,2026,3,1.0,2.0,MSI,Municipal,Primario
110353,2025,10,,1.0,MSI,Municipal,Primario
110353,2025,11,,6.0,MSI,Municipal,Primario
110353,2025,12,5.0,6.0,MSI,Municipal,Primario
110353,2026,1,1.0,4.0,MSI,Municipal,Primario
110353,2026,2,1.0,5.0,MSI,Municipal,Primario
110353,2026,3,1.0,7.0,MSI,Municipal,Primario
110354,2025,10,0.0,1.0,MSI,Municipal,Primario
110354,2025,12,1.0,1.0,MSI,Municipal,Primario
110354,2026,1,1.0,2.0,MSI,Municipal,Primario
110354,2026,2,1.0,0.0,MSI,Municipal,Primario
110355,2025,10,2.0,8.0,MSI,Municipal,Primario
110355,2025,11,5.0,4.0,MSI,Municipal,Primario
110355,2025,12,1.0,4.0,MSI,Municipal,Primario
