IdEstablecimiento,MS,Inscritos_suma_fonasa
109390,IIIa,2545.0
109407,IIIa,1443.0
109410,IIIa,44.0
109412,IIIa,87.0
109413,IIIa,87.0
109414,IIIa,607.0
109416,IIIa,6.0
109417,IIIa,11.0
109418,IIIa,20.0
109419,IIIa,17.0
109420,IIIa,10.0
109709,IIIa,996.0
109711,IIIa,1201.0
109712,IIIa,1048.0
109713,IIIa,363.0
109715,IIIa,515.0
109716,IIIa,333.0
109718,IIIa,738.0
110160,IIIa,942.0
110308,IIIa,3922.0
110310,IIIa,2630.0
110315,IIIa,3686.0
110316,IIIa,2930.0
110320,IIIa,3862.0
110325,IIIa,3194.0
110330,IIIa,3969.0
110331,IIIa,2523.0
110335,IIIa,2987.0
110340,IIIa,3084.0
110345,IIIa,2776.0
110350,IIIa,4972.0
110351,IIIa,4061.0
110352,IIIa,3233.0
110353,IIIa,2690.0
110354,IIIa,4264.0
110355,IIIa,3286.0
110360,IIIa,5925.0
110361,IIIa,4986.0
110362,IIIa,3267.0
110364,IIIa,1996.0
110366,IIIa,6915.0
110369,IIIa,4100.0
110370,IIIa,2816.0
110375,IIIa,1280.0
110378,IIIa,3247.0
110379,IIIa,4041.0
110380,IIIa,1069.0
110381,IIIa,942.0
110385,IIIa,1047.0
110387,IIIa,1222.0
110390,IIIa,4305.0
110393,IIIa,522.0
110400,IIIa,244.0
110410,IIIa,157.0
110425,IIIa,1473.0
110430,IIIa,151.0
110431,IIIa,163.0
110432,IIIa,149.0
110440,IIIa,854.0
110445,IIIa,497.0
110455,IIIa,287.0
110465,IIIa,183.0
110470,IIIa,95.0
110475,IIIa,306.0
110477,IIIa,156.0
110485,IIIa,286.0
110490,IIIa,74.0
110492,IIIa,98.0
110495,IIIa,329.0
110503,IIIa,362.0
110505,IIIa,6.0
110510,IIIa,9.0
110515,IIIa,2.0
110720,IIIa,2.0
110725,IIIa,8.0
110735,IIIa,18.0
110750,IIIa,55.0
110752,IIIa,167.0
110754,IIIa,137.0
110756,IIIa,106.0
110758,IIIa,80.0
110760,IIIa,326.0
110775,IIIa,314.0
110778,IIIa,858.0
110781,IIIa,497.0
110783,IIIa,193.0
111300,IIIa,6270.0
111301,IIIa,2668.0
111302,IIIa,2925.0
111303,IIIa,2273.0
111304,IIIa,2388.0
111305,IIIa,3857.0
111306,IIIa,2775.0
111307,IIIa,1973.0
111308,IIIa,2140.0
111309,IIIa,2301.0
111310,IIIa,8460.0
111351,IIIa,30.0
111370,IIIa,5858.0
111372,IIIa,2454.0
111376,IIIa,5695.0
111378,IIIa,2303.0
111379,IIIa,2978.0
111380,IIIa,3696.0
111381,IIIa,10085.0
111382,IIIa,3795.0
111383,IIIa,2488.0
111400,IIIa,31.0
111704,IIIa,135.0
111780,IIIa,101.0
111781,IIIa,126.0
111782,IIIa,56.0
111783,IIIa,324.0
111784,IIIa,224.0
112300,IIIa,1.0
112301,IIIa,1687.0
112302,IIIa,887.0
112303,IIIa,945.0
112304,IIIa,936.0
112306,IIIa,3262.0
112307,IIIa,3124.0
112309,IIIa,734.0
112310,IIIa,3727.0
112311,IIIa,3171.0
112312,IIIa,3500.0
112313,IIIa,3957.0
112314,IIIa,3218.0
112315,IIIa,1928.0
112316,IIIa,3527.0
112317,IIIa,883.0
112318,IIIa,2746.0
112319,IIIa,3262.0
112320,IIIa,1698.0
112321,IIIa,2248.0
112322,IIIa,2454.0
112323,IIIa,9.0
112407,IIIa,4.0
112707,IIIa,286.0
112716,IIIa,21.0
112717,IIIa,257.0
113181,IIIa,2.0
113300,IIIa,6063.0
113301,IIIa,1901.0
113302,IIIa,4361.0
113303,IIIa,2905.0
113304,IIIa,24.0
113305,IIIa,1829.0
113306,IIIa,2472.0
113307,IIIa,2094.0
113308,IIIa,2497.0
113309,IIIa,2562.0
113310,IIIa,2488.0
113311,IIIa,4333.0
113312,IIIa,3171.0
113313,IIIa,3284.0
113314,IIIa,2705.0
113315,IIIa,3486.0
113316,IIIa,3287.0
113317,IIIa,2875.0
113318,IIIa,5257.0
113319,IIIa,1725.0
113320,IIIa,2118.0
113321,IIIa,745.0
113322,IIIa,1958.0
113323,IIIa,3308.0
113324,IIIa,3209.0
113326,IIIa,3634.0
113328,IIIa,3897.0
113329,IIIa,2370.0
113330,IIIa,4677.0
113331,IIIa,2248.0
113332,IIIa,3148.0
113333,IIIa,1245.0
113334,IIIa,1082.0
113390,IIIa,4579.0
113394,IIIa,3423.0
113396,IIIa,2430.0
113402,IIIa,684.0
113404,IIIa,404.0
113405,IIIa,587.0
113406,IIIa,156.0
113407,IIIa,300.0
113408,IIIa,263.0
113409,IIIa,821.0
113410,IIIa,135.0
113411,IIIa,249.0
113412,IIIa,198.0
113413,IIIa,21.0
113701,IIIa,783.0
113702,IIIa,279.0
113703,IIIa,505.0
113713,IIIa,514.0
113716,IIIa,601.0
113717,IIIa,453.0
113722,IIIa,561.0
113728,IIIa,784.0
113753,IIIa,210.0
113790,IIIa,1127.0
114102,IIIa,75.0
114150,IIIa,1.0
114301,IIIa,7602.0
114302,IIIa,2767.0
114303,IIIa,4304.0
